"","headline","clickbait"
"17401","Facing the Reality That the Money Is Gone",0
"24388","No Simple Route for Flight Delay Information",0
"4775","21 Times ""The Sims"" Gave You Unrealistic Dating Expectations",1
"26753","Panama-flagged ship hijacked off Somali coast by pirates",0
"13218","Get Excited For A Second Season Of ""Master Of None""",1
"26109","Detroit Lions fire coach Mariucci, two assistant coaches",0
"29143","Human Error and Management Decisions Faulted in W. Va. Bayer Explosion",0
"10539","Black Widow And The Hulk Are Adorable In This ""LEGO Marvel's Avengers"" Cutscene",1
"8462","If You Have Never Seen ""Star Wars"" Before",1
"4050","The Trailer For ""Star Trek Beyond"" Shows Us A New Villain",1
"13499","This Video Of Teenage Kendall And Kylie Jenner Lip-Synching To Taylor Swift Is Amazing",1
"11571","This Is What It's Like Being The Most Popular Woman In The NYC Dating Scene",1
"12257","Iggy Azalea Tried To Clap Back Against T.I. On Twitter",1
"25173","Genetically modified dairy cows produce 'human milk'",0
"17685","'Star Wars' headed to TV as weekly series",0
"14262","What's The Best Story You Have About Traveling Before The Internet",1
"24906","Favorites and a Few Surprises Emerge at Wimbledon",0
"18183","Wellington, New Zealand inner city speed limit has decreased",0
"28489","Sources close to both sides say NHL, NHLPA agree on Salary Cap structure",0
"13903","People Fought About The Best Breakfast, What Side Won",1
"9941","17 Of The Most Unforgettable Moments From ""The Bachelor"" In 2015",1
"8229","17 Reasons All Women Should Have Long Hair",1
"17513","New Jersey to consider bikini waxing ban",0
"25305","Employment Contracts Are Now Viewed as Rewritable",0
"878","What Makes Carly Rae Jepsen A Pop Star",1
"25061","Serial killer suspected loose in New York, more bodies found",0
"24229","Larson B ice-shelf collapse reveals exotic organisms isolated for 10,000 years",0
"22306","Fast food chain McDonald’s set to open up 1000 more stores by end of year",0
"31594","Coral Gables hosts Herald Hunt puzzle adventure",0
"6526","Eva Longoria Took The BuzzFeed Spelling Test And Here's What Happened",1
"12204","15 Pictures Of Renaissance Women With Spectacular Gravity-Defying Boobs",1
"21455","Cyclone Aila Kills 191 in South Asia",0
"11041","These Guys Recreated Pizza Rat And People Lost Their Shit",1
"19284","SABMiller acquires Colombian Grupo Bavaria brewery",0
"7075","These Beginner Dinners Will Teach You How To Cook",1
"14662","What Is Your Sexiness Score",1
"26954","Fiscal Crisis Stalls Agenda of Obama",0
"21034","Top Hedge Fund Managers Do Well in a Down Year",0
"9638","Can You Make It Through This Post Without Drooling",1
"18543","Women Rise in Academia and Beyond",0
"3476","28 Things Celebrities Do In Real Life That Normal People Couldn't",1
"1948","This Recipe For Fruit Sushi Will Blow Your Mind",1
"18964","Woman Files Complaint Against Bernie Williams",0
"1530","15 Things Only Super-Disciplined People Will Understand",1
"31276","Guyana president's libel case heard in court",0
"15225","21 Funny Tweets That Perfectly Sum Up Your Hatred For People",1
"12631","Who Can Use The N-Word, As Told By Black-Ish",1
"31302","2007/08 Bundesliga: Wolfsburg vs. Bayern Munich",0
"23673","Libyan city of Misrata reported to be secure after Gaddafi forces retreat",0
"28712","Lewis Hamilton wins 2008 British Grand Prix",0
"16044","Contestant seriously injured during live German game show",0
"4633","Everything You Need To Know About Lush's Bath Bomb Factory",1
"6519","10 Life-Changing Things To Try In 2016",1
"20728","2 Ex-Timesmen Say They Had a Tip on Watergate First",0
"1222","Can You Guess How Many Followers These Instafamous People Have",1
"10618","Can We Guess Your Age And Where You Live Based On Your Taste In Music",1
"26663","Wikimedia Foundation receives copyright infringement claim from Mormon Church",0
"27059","Journalist forbidden to leave Belarus",0
"19242","President Bush defends NSA domestic intercepts",0
"30086","U.S. Is Said to Oppose Merger of CSL and Talecris",0
"21784","Australia hits new Telstra privatization hurdles",0
"9888","21 Photos Of Flight Attendants Living The Life In Overhead Bins",1
"16910","Obama Is Sworn In as the 44th President",0
"31362","Up to 140 feared dead as boat sinks in DR Congo",0
"17453","Plan to Make Gowanus Canal a Superfund Site Draws Opposition",0
"5522","How Fancy Are Your Pants",1
"24598","After a Week of Travel, Castroneves Has a New Trip",0
"22222","In No Time, Sabathia Rediscovers His Fastball",0
"22246","Turks and Caicos Islands Premier resigns",0
"22721","Senate Approves Tight Regulation Over Cigarettes",0
"21875","Somali pirates release tanker after receiving millions of dollars in ransom",0
"31219","Opposing Thai protesters mass, PAD to march on parliament",0
"25704","Chinese animator Te Wei dies at age 95",0
"23878","Sudan may allow joint UN/AU forces in Darfur",0
"25559","AbitibiBowater Said to Be Making Progress on Debt",0
"18175","For Now, the Jets Are Going With an Emptier Backfield",0
"30188","The Making of a New Washington Insider",0
"28486","Canadian Parliament suspended until late January",0
"13928","Kerry Washington Said It's Important To Address Abortion On TV",1
"26215","Golf Headwear: A Touch of Style, Even if You Have No Touch",0
"21323","July deadliest month for US in Afghanistan War",0
"16849","ANC leads in South Africa vote",0
"13284","What Will 2016 Look Like For Your Favorite Celebs",1
"13837","Let's All Take A Minute To Appreciate Lin-Manuel Miranda's Surprise Wedding Performance",1
"7976","29 Husbands Who Crushed This Whole Marriage Thing In 2015",1
"16089","Macedonia says compromise with Greece over name dispute possible",0
"9392","15 Awards For Anyone Who Definitely Has What's Going Around",1
"15705","22 Things People Who Are Bad At Expressing Their Feelings Know To Be True",1
"3863","27 Of The Best Emo Songs To Add To Your Breakup Playlist",1
"9326","31 Real-Life Bridal Parties Who Nailed The Mix 'N' Match Look",1
"24660","Martial law lifted in 41 provinces of Thailand",0
"18279","Former Sudanese rebel leader John Garang sworn in as vice president of Sudan",0
"19485","Foreign Money Seeks to Buy Lebanese Votes",0
"29837","Demonstrators clash with police in Algeria after slum protest",0
"26876","Snow storm hits Arizona and New Mexico",0
"20374","Yankees Rally as Biggest Hits Stay Inside the Park",0
"6877","Find Out Your Badass Harry Potter Roller Derby Name",1
"10140","This Couple Shares Their House With A ""Unicorn"" And It's Beyond Adorable",1
"23148","Matsuzaka Back on the Mound, but Shaky in His Return",0
"17712","'UFO' spotted in Istanbul, Turkey",0
"8749","People Open Up About Why They Take Medication For Their Mental Health",1
"13973","Which Condiment Suits Your Personality",1
"8479","20 Times Aidy Bryant Was Literally The Cutest Person In The World",1
